epoch,train_loss,val_loss,val_roc_auc_score
1,0.5427336015272886,0.37982359528541565,0.8406326881121479
2,0.46252650348469615,0.4539943039417267,0.8404586176484241
3,0.4294558473629877,0.5183697938919067,0.84586060437265
4,0.4103079477790743,0.4942319989204407,0.8472705751288121
5,0.38641824456863105,0.6487864851951599,0.8372151046743722
6,0.3546608742326498,0.596260666847229,0.8385322378498817
7,0.32454574713483453,0.5729578137397766,0.8065496913150444
8,0.3053042646497488,0.7103900909423828,0.8317783038574015
9,0.2734927578130737,0.7453029155731201,0.8045768927261755
10,0.24874004995217547,0.8317691683769226,0.8091085271317829
11,0.22675875842105597,0.7543434500694275,0.7972485262034071
12,0.20613219536608085,0.6465646624565125,0.8042229494499374
13,0.1813398599915672,0.8058183789253235,0.7808336814742609
14,0.1700376626686193,0.9086761474609375,0.8031727243188043
