epoch,train_loss,val_loss,val_roc_auc_score
1,0.5632821283643208,0.5870145559310913,0.8383739016677139
2,0.47084796570596243,0.5191228985786438,0.8517238537685802
3,0.4444115235218926,0.5095655918121338,0.855179802016914
4,0.42308478861574145,0.5453292727470398,0.8563386520256698
5,0.3967756763810203,0.4336721897125244,0.844518381936361
6,0.36425577884628657,0.6156954169273376,0.84229338991955
7,0.34273007192781996,0.8257021903991699,0.8378073527745444
8,0.3147137931415013,0.5648670196533203,0.8355566085353165
9,0.29858587457547114,0.6448899507522583,0.8553549171293482
10,0.2570717389148379,0.6485069990158081,0.8389610523388169
11,0.24082873383211711,0.5642485618591309,0.835335139422532
12,0.21756162216502523,0.6962115168571472,0.8364785380978377
13,0.1923216155597142,0.8434441089630127,0.8219388333213157
14,0.17656542567743194,0.6407053470611572,0.8182614159601973
