epoch,train_loss,val_loss,val_roc_auc_score
1,0.5640660990325231,0.47877171635627747,0.8391619196736678
2,0.4720258088338943,0.46078360080718994,0.844688346604312
3,0.4436342626337021,0.495630145072937,0.854232120231976
4,0.425254359368294,0.5859220027923584,0.8513427208768117
5,0.3956277105543349,0.4590260684490204,0.8402023094593063
6,0.3685083444865923,0.6068727374076843,0.841860752582948
7,0.3384219136029955,0.6311042308807373,0.8301589427167564
8,0.30852722885116696,0.5857256650924683,0.824987896455464
9,0.2902825667508065,0.5724133849143982,0.8455381699440662
10,0.26670554215236314,0.673277735710144,0.8293142698214855
11,0.23474680596873873,0.6255326867103577,0.8199662130841892
12,0.22729196222055525,0.8114940524101257,0.8142440692631774
13,0.19701027249296507,0.605185329914093,0.8231440373304216
