epoch,train_loss,val_loss,val_roc_auc_score
1,0.5438643025700003,0.4653736650943756,0.8495738199110489
2,0.4680335067678243,0.45879948139190674,0.8584954728316828
3,0.44103517406620085,0.6249649524688721,0.858596312454224
4,0.41549728298559785,0.4626118540763855,0.8586918447282106
5,0.38993153301998973,0.5499409437179565,0.853681707692471
6,0.369369667256251,0.5526369214057922,0.8487883323249371
7,0.3407849579816684,0.5053820610046387,0.8418516277638017
8,0.3118656345177442,0.46191132068634033,0.8530235964716748
9,0.2874501353362575,0.46221044659614563,0.8402965746372426
10,0.26235287357121706,0.6459802389144897,0.8346495557749259
11,0.23640856938436627,0.7156894207000732,0.8415862603360613
12,0.21702064387500286,0.5961841344833374,0.8251865533017015
13,0.19226620462723076,0.6901752352714539,0.8300693139721258
14,0.17938822938594967,0.8958711624145508,0.8202984852827224
