epoch,train_loss,val_loss,val_roc_auc_score
1,0.5436201640001432,0.45950356125831604,0.8647716342167237
2,0.46909338423586266,0.5326934456825256,0.8647329375214213
3,0.4437119202820335,0.5037509202957153,0.8740809534865723
4,0.42328114748939755,0.37883278727531433,0.8691388326865457
5,0.4026597219658649,0.507681667804718,0.8643680829657147
6,0.3740557368815415,0.5870834589004517,0.8637931606355103
7,0.3574658125404298,0.6272794604301453,0.8569217331697017
8,0.322252046874189,0.5608647465705872,0.8684091235751323
9,0.3089941717742935,0.4406109154224396,0.8382643979347021
10,0.2832870531504548,0.475093275308609,0.8510785321790661
11,0.25882431917537857,0.5122087001800537,0.8504649131535597
12,0.23894987877194337,0.5109104514122009,0.8598129291187104
13,0.22328926206339061,0.5443419218063354,0.8614050217254303
